date,repository,stars,forks,watchers,open_issues,language,views,unique_views,clones,unique_clones
2026-07-06,Activity-Tracker,2,0,0,0,Python,0,0,2,2
2026-07-06,Airflow-E2E-DevEnv,1,0,0,0,Python,9,3,9,7
2026-07-06,Airflow-Template,1,0,1,0,Python,0,0,1,1
2026-07-06,Ansible-Deploy-To-Edge,1,0,0,0,Python,1,1,1,1
2026-07-06,CAED,1,0,0,0,Python,0,0,4,3
2026-07-06,Cloudflare-Dockerization,1,0,1,0,Python,0,0,3,2
2026-07-06,Crawler-Keywords-And-Use-LineBot,1,0,1,0,Python,1,1,3,3
2026-07-06,Database-Template,1,0,1,0,Python,0,0,1,1
2026-07-06,Docker-Registry-Server,1,0,0,0,,0,0,1,1
2026-07-06,Downloads-YouTube-To-MP3-4,3,0,1,0,Python,21,14,1,1
2026-07-06,Forex-Get-Quotes,3,0,1,0,Python,1,1,1,1
2026-07-06,How-To-Use-Clone-Shields,2,0,1,0,Python,22,1,3,3
2026-07-06,Junwu0615,1,0,1,0,Python,11,2,510,176
2026-07-06,Junwu0615-Analytics,1,0,0,0,Python,0,0,0,0
2026-07-06,Junwu0615.github.io,1,0,1,0,HTML,0,0,1,1
2026-07-06,LCII-Rec-Model,2,0,1,0,Python,0,0,1,1
2026-07-06,Latency-Throughput-Simulation-Test,1,0,0,0,Python,0,0,3,3
2026-07-06,LeetCode-Practice-Record,1,0,1,0,Python,0,0,1,1
2026-07-06,LeetCode-Record-Sharing-Method,1,0,1,0,Python,0,0,2,2
2026-07-06,My-English-Learning-Journey,1,0,0,0,,0,0,4,4
2026-07-06,NGROK-Dockerization,1,0,1,0,Python,1,1,5,4
2026-07-06,NVDA-Price-Stock-Prediction,1,0,1,0,Python,1,1,1,1
2026-07-06,One-Click-Database-Deployment,1,0,1,0,Python,2,1,3,3
2026-07-06,Other,1,0,1,0,Python,1,1,3,2
2026-07-06,PC-Activity-Tracker,1,0,0,0,Python,3,1,573,200
2026-07-06,PC-Bot-With-GenAI,4,0,1,0,Python,4,2,12,6
2026-07-06,PG-APP-Core,1,0,0,0,Python,26,3,53,30
2026-07-06,PG-Airflow-DAGs,1,0,0,0,Python,16,3,8,8
2026-07-06,PG-Analytics,1,0,0,0,Python,333,2,886,288
2026-07-06,PG-Core,1,0,0,0,,62,1,268,110
2026-07-06,PG-Cortex,1,0,0,0,,30,2,40,25
2026-07-06,PG-Edge-Container,1,0,0,0,Makefile,13,1,18,14
2026-07-06,PG-Infrastructure,1,0,0,0,Makefile,67,4,172,72
2026-07-06,PG-Sentinel,1,0,0,0,,24,2,31,24
2026-07-06,PG-Shared-Lib,1,0,0,0,Python,19,3,24,15
2026-07-06,PG-Synapse,1,0,0,0,,25,3,47,30
2026-07-06,Parsing-Media-From-JVID,8,3,1,1,Python,290,119,7,7
2026-07-06,Parsing-Media-From-PornHub,3,1,1,0,Python,1,1,2,2
2026-07-06,Platform-Genesis,2,0,0,0,Makefile,352,21,672,257
2026-07-06,RAG-With-LangChain-And-FAISS,1,0,1,0,Jupyter Notebook,8,3,4,3
2026-07-06,RESTful-API-FastAPI,1,0,1,0,Python,0,0,3,2
2026-07-06,ROI-Tool,1,0,1,0,Python,0,0,2,2
2026-07-06,The-First-PHP-Login-System,2,0,1,0,CSS,2,2,1,1
2026-07-06,Using-Streamlit-Create-Dashboard,1,0,1,0,Python,0,0,2,2
2026-07-06,Web-Crawler-Download-Img,1,0,1,0,Python,0,0,2,2
2026-07-06,Web-Crawler-FamilyMart-Shop,1,0,1,0,Python,0,0,4,3
2026-07-06,Web-Crawler-News,1,0,1,0,Python,1,1,2,2
2026-07-06,github-readme-terminal,1,0,0,0,,0,0,2,2
